Registration Number,Block No,Floor Number,Flat/ Apartment/ Shop/Plot type,Number of Apartment/Flats/Shop,Unit Carpet Area (in sqm),Number of Balcony,Total Area of Balcony (in sqm),Number of Verandah,Total Area of Verandah (in sqm),No. of garrage,Total Area of garage (in sqm),Open Parking Space (in Nos.)
UPRERAPRJ335841,Block E,3,SHOP,1,89.19,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,79.90,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,42.27,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,7,74.32,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,71.53,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,90.58,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,36.84,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,28.51,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,3,SHOP,1,72.74,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,4,SHOP,1,414.81,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,4,SHOP,1,411.09,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,4,SHOP,1,354.89,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,5,OTHER,1,125.42,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,5,OTHER,1,133.78,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,5,OTHER,2,98.94,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,5,OTHER,1,88.26,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,5,OTHER,1,85.26,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,6,OTHER,1,125.42,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,6,OTHER,1,133.78,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,6,OTHER,2,98.94,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,6,OTHER,1,88.26,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,6,OTHER,1,85.01,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,7,OTHER,1,125.42,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,7,OTHER,1,133.78,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,7,OTHER,2,98.94,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,7,OTHER,1,88.26,0,0,0,0,undefined,0,-
UPRERAPRJ335841,Block E,7,OTHER,1,85.01,0,0,0,0,undefined,0,-
UPRERAPRJ839360,A,BSMNT,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ839360,A,BSMNT2,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ839360,A,BSMNT3,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ839360,A,GF,OTHER,0,0,0,0,0,0,0,0,0
UPRERAPRJ839360,A,1,5 BHK,2,111.5,4,16,0,0,0,0,-
UPRERAPRJ839360,A,1,4 BHK,2,83,4,14,0,0,0,0,-
UPRERAPRJ839360,A,2,5 BHK,2,111.5,4,16,0,0,0,0,-
UPRERAPRJ839360,A,2,4 BHK,2,83,4,14,0,0,0,0,-
UPRERAPRJ839360,A,3,5 BHK,2,111.5,4,16,0,0,0,0,-
UPRERAPRJ839360,A,3,4 BHK,2,83,4,14,0,0,0,0,-
UPRERAPRJ839360,A,4,5 BHK,2,111.5,4,16,0,0,0,0,-
UPRERAPRJ839360,A,4,4 BHK,2,83,4,14,0,0,0,0,-
UPRERAPRJ839360,A,5,5 BHK,2,111.51,4,16,0,0,0,0,-
UPRERAPRJ839360,A,5,4 BHK,2,83,4,14,0,0,0,0,-
UPRERAPRJ839360,A,6,5 BHK,2,111.5,4,16,0,0,0,0,-
UPRERAPRJ839360,A,6,4 BHK,2,83,4,14,0,0,0,0,-
UPRERAPRJ839360,A,7,5 BHK,2,111.5,2,16,0,0,0,0,-
UPRERAPRJ839360,A,7,4 BHK,2,83,4,14,0,0,0,0,-
UPRERAPRJ839360,A,8,5 BHK,2,111.5,4,16,0,0,0,0,-
UPRERAPRJ839360,A,8,4 BHK,2,83,4,14,0,0,0,0,-
UPRERAPRJ839360,B,BSMNT,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ839360,B,BSMNT2,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ839360,B,BSMNT3,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ839360,B,GF,OTHER,0,0,0,0,0,0,0,0,0
UPRERAPRJ839360,B,1,4 BHK,4,83,4,14,0,0,0,0,-
UPRERAPRJ839360,B,2,4 BHK,4,83,4,14,0,0,0,0,-
UPRERAPRJ839360,B,3,4 BHK,4,83,4,14,0,0,0,0,-
UPRERAPRJ839360,B,4,4 BHK,4,83,4,14,0,0,0,0,-
UPRERAPRJ839360,B,5,4 BHK,4,83,4,14,0,0,0,0,-
UPRERAPRJ839360,B,6,4 BHK,4,83,4,14,0,0,0,0,-
UPRERAPRJ839360,B,7,4 BHK,4,83,4,14,0,0,0,0,-
UPRERAPRJ839360,B,8,4 BHK,4,83,4,14,0,0,0,0,-
UPRERAPRJ839360,C,BSMNT,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ839360,C,BSMNT2,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ839360,C,BSMNT3,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ839360,C,1,4 BHK,2,140,6,24,0,0,0,0,-
UPRERAPRJ839360,C,2,4 BHK,2,140,6,24,0,0,0,0,-
UPRERAPRJ839360,C,3,4 BHK,2,140,6,24,0,0,0,0,-
UPRERAPRJ839360,C,4,4 BHK,2,140,6,24,0,0,0,0,-
UPRERAPRJ839360,C,5,4 BHK,2,140,6,24,0,0,0,0,-
UPRERAPRJ839360,C,6,4 BHK,2,140,6,24,0,0,0,0,-
UPRERAPRJ839360,C,7,4 BHK,2,140,6,24,0,0,0,0,-
UPRERAPRJ839360,C,8,4 BHK,2,140,6,24,0,0,0,0,-
UPRERAPRJ3250,Block E,BSMNT3,SHOP,1,369.01,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,BSMNT3,SHOP,1,73.86,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,BSMNT3,SHOP,1,57.13,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,BSMNT3,SHOP,2,58.53,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,BSMNT3,SHOP,1,148.64,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,BSMNT3,SHOP,3,91.51,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,BSMNT3,SHOP,3,74.32,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,BSMNT3,SHOP,1,67.86,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,GF,SHOP,1,98.94,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,GF,SHOP,1,77.57,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,GF,SHOP,1,65.50,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,GF,SHOP,1,54.81,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,GF,SHOP,1,31.12,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,GF,SHOP,2,29.73,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,GF,SHOP,1,40.41,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,GF,SHOP,2,74.97,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,GF,SHOP,1,132.39,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,GF,SHOP,4,74.32,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,GF,SHOP,1,71.53,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,GF,SHOP,1,90.58,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,GF,SHOP,1,36.84,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,GF,SHOP,1,28.51,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,GF,SHOP,1,72.74,0,0,0,0,undefined,0,0
UPRERAPRJ3250,Block E,1,SHOP,1,98.48,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,1,SHOP,1,101.73,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,1,SHOP,1,89.19,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,1,SHOP,1,79.90,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,1,SHOP,1,42.27,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,1,SHOP,7,72.32,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,1,SHOP,1,71.53,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,1,SHOP,1,90.58,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,1,SHOP,1,36.84,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,1,SHOP,1,28.51,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,1,SHOP,1,72.74,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,2,SHOP,1,98.48,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,2,SHOP,1,101.73,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,2,SHOP,1,89.19,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,2,SHOP,1,79.90,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,2,SHOP,1,42.27,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,2,SHOP,7,74.32,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,2,SHOP,1,71.53,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,2,SHOP,1,90.58,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,2,SHOP,1,36.84,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,2,SHOP,1,28.51,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,2,SHOP,1,72.74,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,3,SHOP,1,98.48,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,3,SHOP,1,101.73,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,3,SHOP,1,89.19,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,3,SHOP,1,79.90,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,3,SHOP,1,42.27,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,3,SHOP,7,74.32,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,3,SHOP,1,71.53,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,3,SHOP,1,90.58,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,3,SHOP,1,36.84,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,3,SHOP,1,28.51,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,3,SHOP,1,72.74,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,4,SHOP,1,414.81,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,4,SHOP,1,411.09,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,4,SHOP,1,354.89,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,5,OTHER,1,125.42,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,5,OTHER,1,133.78,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,5,OTHER,2,98.94,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,5,OTHER,1,88.26,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,5,OTHER,1,85.26,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,6,OTHER,1,125.42,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,6,OTHER,1,133.78,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,6,OTHER,2,98.94,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,6,OTHER,1,88.26,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,6,OTHER,1,85.01,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,7,OTHER,1,125.42,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,7,OTHER,1,133.78,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,7,OTHER,2,98.94,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,7,OTHER,1,88.26,0,0,0,0,undefined,0,-
UPRERAPRJ3250,Block E,7,OTHER,1,85.01,0,0,0,0,undefined,0,-
